,time,T18,T19,T20,T21
0,49489,22.5579,22.4062,9.90828,23.6322
1,49490,22.5322,22.4062,9.910630000000001,23.6562
2,49491,22.5385,22.410999999999998,9.93243,23.6493
3,49492,22.5385,22.3125,9.971119999999999,23.625
4,49493,22.5101,22.3438,9.96911,23.639
5,49494,22.5163,22.3881,10.0079,23.7323
6,49495,22.5057,22.3438,9.997910000000001,23.7881
7,49496,22.5053,22.3621,10.0321,23.8125
8,49497,22.482,22.3879,10.0413,23.7878
9,49498,22.4774,22.375,10.0634,23.8192
10,49499,22.4924,22.419,10.0891,23.8882
11,49500,22.4886,22.4814,10.1194,23.9375
12,49501,22.4902,22.5127,10.1177,23.9375
13,49502,22.4984,22.5876,10.1586,23.8782
14,49503,22.5096,22.6812,10.2128,23.9125
15,49504,22.4886,22.75,10.2675,24.0312
16,49505,22.493000000000002,22.7624,10.3658,24.0312
17,49506,22.5075,22.7812,10.4911,24.0253
18,49507,22.4953,22.8438,10.5704,23.9939
19,49508,22.5209,22.8247,10.6921,24.0
20,49509,22.5167,22.8196,10.7752,24.0
21,49510,22.5398,22.7812,10.8169,24.0
22,49511,22.5468,22.8125,10.8522,24.0
23,49512,22.546999999999997,22.8556,10.8528,24.0
24,49513,22.5424,22.9062,10.8609,24.0
25,49514,22.541,22.9004,10.8356,23.9688
26,49515,22.5514,22.8633,10.844000000000001,23.9688
27,49516,22.5495,22.8125,10.8181,23.9688
28,49517,22.5617,22.7812,10.7811,23.9688
29,49518,22.5633,22.801,10.7531,23.9688
30,49519,22.5645,22.7812,10.6433,23.9375
31,49520,22.5729,22.7927,10.4105,23.9062
32,49521,22.5585,22.8438,10.137,23.9062
33,49522,22.5801,22.875,9.873569999999999,23.9375
34,49523,22.5906,22.875,9.481869999999999,23.9324
35,49524,22.603,22.9486,9.067689999999999,23.9014
36,49525,22.6031,23.0,8.61673,23.8438
37,49526,22.6144,22.9779,8.02027,23.8438
38,49527,22.6166,22.9265,7.32022,23.8438
39,49528,22.6125,22.9062,6.5686800000000005,23.839000000000002
40,49529,22.6217,22.9484,5.88172,23.8031
41,49530,22.6386,22.9795,5.31034,23.75
42,49531,22.6444,23.0312,4.98522,23.75
43,49532,22.6514,23.0312,4.94543,23.8392
44,49533,22.656,23.0418,5.02104,23.8125
45,49534,22.6623,23.0731,5.1014,23.75
46,49535,22.6714,23.0728,5.208080000000001,23.7144
47,49536,22.6865,23.0729,5.35842,23.6522
48,49537,22.6974,23.0625,5.5362,23.5625
49,49538,22.7077,23.104,5.74076,23.5312
50,49539,22.7058,23.1562,5.9265,23.5273
51,49540,22.7167,23.1562,6.127000000000001,23.4375
52,49541,22.7274,23.1452,6.3362099999999995,23.4335
